"tower","x","y","z"
"Lookout Landing Skyview Tower ","-0293"," 0137"," 0025"
"Hyrule Field Skyview Tower ","0753"," -1019"," 0064"
"Lindor’s Brow Skyview Tower ","-1901"," 1243"," 0297"
"Popla Foothills Skyview Tower ","0602"," -2119"," 0098"
"Sahasra Slope Skyview Tower ","1344"," -1170"," 0166"
"Rabella Wetlands Skyview Tower ","2419"," -2762"," 0222"
"Mount Lanayru Skyview Tower ","3846"," -1307"," 0539"
"Upland Zorana Skyview Tower ","2858"," 0582"," 0379"
"Ulri Mountain Skyview Tower ","3493"," 2019"," 0188"
"Eldin Canyon Skyview Tower ","1799"," 1638"," 0311"
"Thyphlo Ruins Skyview Tower ","0343"," 3133"," 0180"
"Pikida Stonegrove Skyview Tower ","-2318"," 3066"," 0443"
"Rospro Pass Skyview Tower ","-3686"," 2342"," 0233"
"Gerudo Highlands Skyview Tower ","-3959"," -1313"," 0422"
"Gerudo Canyon Skyview Tower ","-2432"," -2178"," 0307"
